NOME_COMERCIAL,NOME_GENERICO,FABRICANTE,TIPO_PRODUTO
CARBO VEGETABILIS 30C,Carbo Vegetabilis,"NATURAL CREATIONS, INC",MEDICAMENTO ISENTO DE PRESCRIÇÃO
MEDI-FIRST ANTISEPTIC,benzalkonium chloride,UNIFIRST FIRST AID CORPORATION,MEDICAMENTO ISENTO DE PRESCRIÇÃO
NITROGEN,NITROGEN,KEEN COMPRESSED GAS CO. INC.,MEDICAMENTO SOB PRESCRIÇÃO
CARBO SULFUR COMP.,Carbo Sulfur comp.,"URIEL PHARMACY, INC",MEDICAMENTO ISENTO DE PRESCRIÇÃO
ACNE TREATMENT,Benzoyl peroxide,WALMART INC.,MEDICAMENTO ISENTO DE PRESCRIÇÃO
FEMALE BALANCE,"Folliculinum, Progesterone","BIOACTIVE NUTRITIONAL, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
VITALIZER,"Echinacea (Angustifolia), Iodium, Arsenicum Album, Aurum Metallicum, Calcarea Fluorica, Gallicum Acidum, Hekla Lava, Niccolum Sulphuricum, Phosphorus, Sedum Acre, Sempervivum Tectorum, Senecio Aureus, Blatta Americana, Onosmodium Virginianum","BIOACTIVE NUTRITIONAL, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
GUM THERAPY,"Calendula Officinalis, Kali Phosphoricum, Natrum Muriaticum, Arnica Montana, Borax, Cistus Canadensis, Kreosotum, Myrrha, Calcarea Fluorica, Aconitum Napellus, Bismuthum Subnitricum, Sepia, Hepar Sulphuris Calcareum, Mercurius Vivus",DESERET BIOLOGICALS,MEDICAMENTO ISENTO DE PRESCRIÇÃO
CEFTRIAXONE,Ceftriaxone,"WG CRITICAL CARE, LLC",MEDICAMENTO SOB PRESCRIÇÃO
METOLAZONE,Metolazone,SANDOZ INC,MEDICAMENTO SOB PRESCRIÇÃO
VASOTEC,Enalapril Maleate,BAUSCH HEALTH US LLC,MEDICAMENTO SOB PRESCRIÇÃO
CARDIZEM LA,Diltiazem Hydrochloride,BAUSCH HEALTH US LLC,MEDICAMENTO SOB PRESCRIÇÃO
CARBON DIOXIDE-AIR MIXTURE,Carbon Dioxide-Air Mixture,"ROBERTS OXYGEN COMPANY, INC.",MEDICAMENTO SOB PRESCRIÇÃO
DEFERASIROX,Deferasirox,ALEMBIC PHARMACEUTICALS LIMITED,MEDICAMENTO SOB PRESCRIÇÃO
MESALAMINE,MESALAMINE,ALEMBIC PHARMACEUTICALS LIMITED,MEDICAMENTO SOB PRESCRIÇÃO
PALIPERIDONE,Paliperidone,"SUN PHARMACEUTICAL INDUSTRIES, INC.",MEDICAMENTO SOB PRESCRIÇÃO
CALCAREA PHOSPHORICA,TRIBASIC CALCIUM PHOSPHATE,BOIRON,MEDICAMENTO ISENTO DE PRESCRIÇÃO
CANDIDA ALBICANS,CANDIDA ALBICANS,BOIRON,MEDICAMENTO ISENTO DE PRESCRIÇÃO
ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE,A-S MEDICATION SOLUTIONS,MEDICAMENTO SOB PRESCRIÇÃO
OXYBUTYNIN CHLORIDE,OXYBUTYNIN CHLORIDE,A-S MEDICATION SOLUTIONS,MEDICAMENTO SOB PRESCRIÇÃO
DOG HAIR,Dog Hair,"ALLERMED LABORATORIES, INC.",ALERGÊNICO NÃO PADRONIZADO
TIVICAY,dolutegravir sodium,VIIV HEALTHCARE COMPANY,MEDICAMENTO SOB PRESCRIÇÃO
EQUATE SUNSCREEN SPF 50 SPORT BROADSPECTRUM,"Avobenzone,Homosalate,Octisalate,Octocrylene",WALMART,MEDICAMENTO ISENTO DE PRESCRIÇÃO
BENLYSTA,belimumab,GLAXOSMITHKLINE LLC,MEDICAMENTO SOB PRESCRIÇÃO
SKINCEUTICALS PHYSICAL FUSION UV DEFENSE BROAD SPECTRUM SPF 50 SUNSCREEN,Titanium Dioxide and Zinc Oxide,L'OREAL USA PRODUCTS INC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
"TUKOL MAX ACTION COLD, FLU AND SORE THROAT","Acetaminophen, Dextromethorphan Hydrobromide, Guaifenesin, and Phenylephrine Hydrochloride",GENOMMA LAB USA,MEDICAMENTO ISENTO DE PRESCRIÇÃO
FELODIPINE,Felodipine,A-S MEDICATION SOLUTIONS,MEDICAMENTO SOB PRESCRIÇÃO
AZELASTINE HYDROCHLORIDE,azelastine hydrochloride,A-S MEDICATION SOLUTIONS,MEDICAMENTO SOB PRESCRIÇÃO
XARELTO,rivaroxaban,A-S MEDICATION SOLUTIONS,MEDICAMENTO SOB PRESCRIÇÃO
MELOXICAM,meloxicam,A-S MEDICATION SOLUTIONS,MEDICAMENTO SOB PRESCRIÇÃO
LEVOTHYROXINE SODIUM,Levothyroxine Sodium,A-S MEDICATION SOLUTIONS,MEDICAMENTO SOB PRESCRIÇÃO
DEXAMETHASONE,Dexamethasone,A-S MEDICATION SOLUTIONS,MEDICAMENTO SOB PRESCRIÇÃO
GLUCAGON,Glucagon,A-S MEDICATION SOLUTIONS,MEDICAMENTO SOB PRESCRIÇÃO
LURASIDONE HYDROCHLORIDE,Lurasidone Hydrochloride,"GOLDEN STATE MEDICAL SUPPLY, INC.",MEDICAMENTO SOB PRESCRIÇÃO
AMORAY 70% ISOPROPYL RUBBING ALCOHOL,Isopropyl Alcohol,MY IMPORT USA INC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,"NORTHWIND HEALTH COMPANY, LLC",MEDICAMENTO SOB PRESCRIÇÃO
BENZONATATE,Benzonatate,"NORTHWIND HEALTH COMPANY, LLC",MEDICAMENTO SOB PRESCRIÇÃO
METAXALONE,Metaxalone,"SCIEGEN PHARMACEUTICALS, INC.",MEDICAMENTO SOB PRESCRIÇÃO
CARBIDOPA AND LEVODOPA,Carbidopa and Levodopa,AVPAK,MEDICAMENTO SOB PRESCRIÇÃO
SERTRALINE HYDROCHLORIDE,Sertraline Hydrochloride,AVPAK,MEDICAMENTO SOB PRESCRIÇÃO
HYDRALAZINE HYDROCHLORIDE,Hydralazine Hydrochloride,"TEVA PHARMACEUTICALS USA, INC.",MEDICAMENTO SOB PRESCRIÇÃO
INVOKAMET,canagliflozin and metformin hydrochloride,"JANSSEN PHARMACEUTICALS, INC.",MEDICAMENTO SOB PRESCRIÇÃO
ZYRTEC-D ALLERGY PLUS CONGESTION,Cetirizine Hydrochloride and Pseudoephedrine Hydrochloride,KENVUE BRANDS LLC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
GOOD SENSE HOT AND COLD MEDICATED PATCH,MENTHOL,GOOD SENSE,MEDICAMENTO ISENTO DE PRESCRIÇÃO
APPETITE INCREASE,"Alfalfa, Antimonium Crudum, Avena Sativa, Cinchona Officinalis, Oleum Morrhuae, Vanadium Metallicum","LIDDELL LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
BB BLUR TINTED MOISTURIZER BROAD SPECTRUM SPF 30 DEEP,Titanium Dioxide and Zinc Oxide,"TARTE, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
CVS TROPICAL FRUIT,Antacid,CVS,MEDICAMENTO ISENTO DE PRESCRIÇÃO
NIGHTTIME SEVERE COLD AND FLU,"Acetaminophen, dextromethorphan HBr, doxylamine succinate, phenylephrine HCl","CVS WOONSOCKET PRESCRIPTION CENTER, INCORPORATED",MEDICAMENTO ISENTO DE PRESCRIÇÃO
MINERAL SUNSCREEN SPF 50,Zinc Oxide Titanium Dioxide,"TOPIDERM, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
FLUCONAZOLE,Fluconazole,"GOLDEN STATE MEDICAL SUPPLY, INC.",MEDICAMENTO SOB PRESCRIÇÃO
MONTELUKAST SODIUM,Montelukast Sodium,DR.REDDY'S LABORATORIES LIMITED,MEDICAMENTO SOB PRESCRIÇÃO
SEI BELLA TINTED BB MOISTURIZING CREME MEDIUM TO DEEP 450 W,Titanium Dioxide 5% and Zinc Oxide 5%,MELALEUCA INC.,MEDICAMENTO ISENTO DE PRESCRIÇÃO
LICENSED HAND SANITIZER BARBIE 01,alcohol,"SHENZHEN LANTERN SCICENCE CO.,LTD.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
BABY NIGHTTIME MUCUS PLUS COLD RELIEF,"CALCIUM SULFIDE,PHOSPHORUS,SULFUR,RUMEX CRISPUS ROOT,SODIUM CHLORIDE,ARABICA COFFEE BEAN,ANEMONE PULSATILLA,SILICON DIOXIDE, GOLDENSEAL,ONION,BRYONIA ALBA ROOT,EUPHRASIA STRICTA and MATRICARIA CHAMOMILLA",HYLAND'S INC.,MEDICAMENTO ISENTO DE PRESCRIÇÃO
AMIODARONE HYDROCHLORIDE,Amiodarone Hydrochloride,"SUN PHARMACEUTICAL INDUSTRIES, INC.",MEDICAMENTO SOB PRESCRIÇÃO
NITROGLYCERIN,NITROGLYCERIN,"HF ACQUISITION CO LLC, DBA HEALTHFIRST",MEDICAMENTO SOB PRESCRIÇÃO
HYDRALAZINE HYDROCHLORIDE,HYDRALAZINE HYDROCHLORIDE,"HF ACQUISITION CO LLC, DBA HEALTHFIRST",MEDICAMENTO SOB PRESCRIÇÃO
CAREALL HYDROCORTISONE MAXIMUM STRENGTH,Hydrocortisone,"NEW WORLD IMPORTS, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
SAMBUCOL COLD AND FLU RELIEF,"Bryonia, Gelsemium Sempervirens, Sabucus Nigra, Sulphur, Zincum Gluconicum","PHARMACARE US, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
KALI CARBONICUM,POTASSIUM CARBONATE,BOIRON,MEDICAMENTO ISENTO DE PRESCRIÇÃO
KALI BICHROMICUM,POTASSIUM DICHROMATE,BOIRON,MEDICAMENTO ISENTO DE PRESCRIÇÃO
DEFENSOL D BLISTER PACK,"Acetaminophen, Diphenhydramine HCl, Phenylephrine HCI","MENPER DISTRIBUTORS, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
"CURAD ALCOHOL STERILE, THICK",Isopropyl Alcohol,"MEDLINE INDUSTRIES, LP",MEDICAMENTO ISENTO DE PRESCRIÇÃO
SILICEA 6X,Silicea 6X,"TRUE BOTANICA, LLC",MEDICAMENTO ISENTO DE PRESCRIÇÃO
CLINDAMYCIN PALMITATE HYDROCHLORIDE (PEDIATRIC),Clindamycin Palmitate Hydrochloride,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,MEDICAMENTO SOB PRESCRIÇÃO
DISCOUNT DRUG MART VALUE VAPOR STEAM,camphor (synthetic),DRUG MART,MEDICAMENTO ISENTO DE PRESCRIÇÃO
ENTERIC COATED ASPIRIN,ASPIRIN,"MAGNO-HUMPHRIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
RALOXIFENE HYDROCHLORIDE,Raloxifene Hydrochloride,BRYANT RANCH PREPACK,MEDICAMENTO SOB PRESCRIÇÃO
LEVOTHYROXINE SODIUM,Levothyroxine Sodium,BRYANT RANCH PREPACK,MEDICAMENTO SOB PRESCRIÇÃO
PROPRANOLOL HYDROCHLORIDE,propranolol hydrochloride,BRYANT RANCH PREPACK,MEDICAMENTO SOB PRESCRIÇÃO
LAMOTRIGINE,Lamotirigine,ZYDUS LIFESCIENCES LIMITED,MEDICAMENTO SOB PRESCRIÇÃO
SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,sitagliptin and metformin hydrochloride,ZYDUS LIFESCIENCES LIMITED,MEDICAMENTO SOB PRESCRIÇÃO
SILDENAFIL CITRATE,Sildenafil Citrate,"ANI PHARMACEUTICALS, INC.",MEDICAMENTO SOB PRESCRIÇÃO
METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,"ACI HEALTHCARE USA, INC.",MEDICAMENTO SOB PRESCRIÇÃO
DAILY MOISTURIZING,Dimethicone,"LIDL US, LLC",MEDICAMENTO ISENTO DE PRESCRIÇÃO
VALSARTAN AND HYDROCHLOROTHIAZIDE,Valsartan and Hydrochlorothiazide,PROFICIENT RX LP,MEDICAMENTO SOB PRESCRIÇÃO
DICLOFENAC SODIUM,"Diclofenac Sodium Topical Gel, 1%,",PROFICIENT RX LP,MEDICAMENTO SOB PRESCRIÇÃO
VENLAFAXINE HYDROCHLORIDE,Venlafaxine Hydrochloride,PROFICIENT RX LP,MEDICAMENTO SOB PRESCRIÇÃO
ERYTHROMYCIN ETHYLSUCCINATE,Erythromycin ethylsuccinate,CADILA PHARMACEUTICALS LIMITED,MEDICAMENTO SOB PRESCRIÇÃO
FLUOXETINE,Fluoxetine Hydrochloride,BRYANT RANCH PREPACK,MEDICAMENTO SOB PRESCRIÇÃO
IDARUBICIN HYDROCHLORIDE,Idarubicin Hydrochloride,MEITHEAL PHARMACEUTICALS INC.,MEDICAMENTO SOB PRESCRIÇÃO
AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,BRYANT RANCH PREPACK,MEDICAMENTO SOB PRESCRIÇÃO
NAPROXEN,Naproxen Sodium,BRYANT RANCH PREPACK,MEDICAMENTO ISENTO DE PRESCRIÇÃO
SHISEIDO BENEFIANCE WRINKLERESIST24 DAY,"AVOBENZONE, OCTINOXATE, and OCTOCRYLENE",SHISEIDO AMERICAS CORPORATION,MEDICAMENTO ISENTO DE PRESCRIÇÃO
WAYRILZ,rilzabrutinib,GENZYME CORPORATION,MEDICAMENTO SOB PRESCRIÇÃO
NICOTINE,NICOTINE POLACRILEX MINI,AUROHEALTH LLC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
PROCEUTICALS PRIVATE LABEL BY TIZO TINTED MINERAL SUNSCREEN STICK,"Titanium Dioxide, Zinc Oxide","FALLIEN COSMECEUTICALS, LTD",MEDICAMENTO ISENTO DE PRESCRIÇÃO
VITRAMYN,Folic Acid,PURETEK CORPORATION,MEDICAMENTO SOB PRESCRIÇÃO
AIRDUO RESPICLICK,Fluticasone Propionate and Salmeterol,"TEVA RESPIRATORY, LLC",MEDICAMENTO SOB PRESCRIÇÃO
CHEMSEPTIC,CHLOROXYLENOL,ROCHESTER MIDLAND CORPORATION,MEDICAMENTO ISENTO DE PRESCRIÇÃO
CLOZAPINE,Clozapine,AUROBINDO PHARMA LIMITED,MEDICAMENTO SOB PRESCRIÇÃO
BISOPROLOL FUMARATE AND HYDROCHLOROTHIAZIDE,Bisoprolol Fumarate and Hydrochlorothiazide,AUROBINDO PHARMA LIMITED,MEDICAMENTO SOB PRESCRIÇÃO
YOUR NAME MINERAL SHEERTINT BROAD SPECTRUM SPF 20,YOUR NAME MINERAL SHEER TINT,"PML NYC, LLC",MEDICAMENTO ISENTO DE PRESCRIÇÃO
MISOPROSTOL,MISOPROSTOL,MYLAN PHARMACEUTICALS INC.,MEDICAMENTO SOB PRESCRIÇÃO
AZELASTINE HYDROCHLORIDE AND FLUTICASONE PROPIONATE,Azelastine hydrochloride and Fluticasone propionate,APOTEX CORP.,MEDICAMENTO SOB PRESCRIÇÃO
MULTIPLE VITAMINS (PEDIATRIC) SINGLE DOSE VIAL,"Ascorbic Acid, Vitamin A Palmitate, Cholecalciferol, Thiamine Hydrochloride, Riboflavin-5 phosphate sodium, Pyridoxine Hydrochloride, Niacinamide, Dexpanthenol, Alpha-tocopherol acetate, Vitamin K1, Folic Acid, Biotin, Cyanocobalamin",APOTEX CORP.,MEDICAMENTO SOB PRESCRIÇÃO
EBSL-5,Lidocaine Hydrochloride,WATER-JEL TECHNOLOGIES,MEDICAMENTO ISENTO DE PRESCRIÇÃO
CARBAMAZEPINE,Carbamazepine,UMEDICA LABORATORIES USA INC.,MEDICAMENTO SOB PRESCRIÇÃO
MYCOPHENOLATE MOFETIL,Mycophenolate Mofetil,AMERICAN HEALTH PACKAGING,MEDICAMENTO SOB PRESCRIÇÃO
TRAMADOL HYDROCHLORIDE,Tramadol Hydrochloride,AMERICAN HEALTH PACKAGING,MEDICAMENTO SOB PRESCRIÇÃO
ENALAPRIL MALEATE,Enalapril Maleate,ST. MARY'S MEDICAL PARK PHARMACY,MEDICAMENTO SOB PRESCRIÇÃO
ACOLYE NUMBING CREAM ANORECTAL(HEMORRHOIDAL) CREAM,LIDOCAINE,"GUANGZHOU HAISHI BIOLOGICAL TECHNOLOGY CO., LTD.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
TORPENZ,Everolimus,"UPSHER-SMITH LABORATORIES, LLC",MEDICAMENTO SOB PRESCRIÇÃO
NEOMYCIN AND POLYMYXIN B SULFATES AND DEXAMETHASONE,Neomycin and Polymyxin B Sulfates and Dexamethasone,SANDOZ INC,MEDICAMENTO SOB PRESCRIÇÃO
DEXTROSE,Dextrose,B. BRAUN MEDICAL INC.,MEDICAMENTO SOB PRESCRIÇÃO
HAIR-X HAIR LOSS RELIEF,"CADMIUM SULFATE, GRAPHITE, PHOSPHORIC ACID, SILICON DIOXIDE, SELENIUM, THALLIUM, USTILAGO MAYDIS",HOMEOCARE LABORATORIES,MEDICAMENTO ISENTO DE PRESCRIÇÃO
FOREVER SKIN GLOW 24H WEAR RADIANT FOUNDATION PERFECTION AND HYDRATION CONCENTRATED FLORAL SKINCARE WITH SUNCREEN BROAD SPECTRUM SPF 15 3WO,"OCTISALATE, TITANIUM DIOXIDE",PARFUMS CHRISTIAN DIOR,MEDICAMENTO ISENTO DE PRESCRIÇÃO
PCXX PEPPERMINT APF F,Sodium Fluoride,ROSS HEALTHCARE INC.,MEDICAMENTO SOB PRESCRIÇÃO
CALENDULA CREAM,Calendula officinalis,SEROYAL USA,MEDICAMENTO ISENTO DE PRESCRIÇÃO
HYDROXYZINE HYDROCHLORIDE,Hydroxyzine Hydrochloride,"CHARTWELL RX, LLC",MEDICAMENTO SOB PRESCRIÇÃO
PREGABALIN,Pregabalin,ALEMBIC PHARMACEUTICALS INC.,MEDICAMENTO SOB PRESCRIÇÃO
BISOPROLOL FUMARATE,BISOPROLOL FUMARATE,ALEMBIC PHARMACEUTICALS INC.,MEDICAMENTO SOB PRESCRIÇÃO
LEFLUNOMIDE,Leflunomide,"CHARTWELL RX, LLC",MEDICAMENTO SOB PRESCRIÇÃO
IBUPROFEN,Ibuprofen,GRANULES INDIA LIMITED,MEDICAMENTO ISENTO DE PRESCRIÇÃO
LORAZEPAM,Lorazepam,"ANI PHARMACEUTICALS, INC.",MEDICAMENTO SOB PRESCRIÇÃO
ANTI BACTERIAL HAND GEL WILDBERRY FRENCH TOAST,Alcohol,"BATH & BODY WORKS, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
ANTI BACTERIAL HAND GEL FRESH BALSAM,Alcohol,"BATH & BODY WORKS, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
CLEARLY ZINQ MINERAL GEL SUNSCREEN BS SPF 60,Zinc Oxide,ALLURE LABS,MEDICAMENTO ISENTO DE PRESCRIÇÃO
DAYVIGO,lemborexant,EISAI INC.,MEDICAMENTO SOB PRESCRIÇÃO
RIB CAGE PAIN DROPS 2056,Rib Cage Pain Drops,PROFESSIONAL COMPLEMENTARY HEALTH FORMULAS,MEDICAMENTO ISENTO DE PRESCRIÇÃO
MER DETOX 6019,Mer Detox,PROFESSIONAL COMPLEMENTARY HEALTH FORMULAS,MEDICAMENTO ISENTO DE PRESCRIÇÃO
AORTA DROPS 9613,Aorta Drops,PROFESSIONAL COMPLEMENTARY HEALTH FORMULAS,MEDICAMENTO ISENTO DE PRESCRIÇÃO
MUPIROCIN,Mupirocin,PROFICIENT RX LP,MEDICAMENTO SOB PRESCRIÇÃO
TIZANIDINE,Tizanidine,PROFICIENT RX LP,MEDICAMENTO SOB PRESCRIÇÃO
MENTHOL AND METHYL SALICYLATE,ELECTRIC MEDICATED BALM ULTRA STRENGTH,FEI FAH MEDICAL MANUFACTURING PTE LTD,MEDICAMENTO ISENTO DE PRESCRIÇÃO
POLOCAINE-MPF,MEPIVACAINE HYDROCHLORIDE,"FRESENIUS KABI USA, LLC",MEDICAMENTO SOB PRESCRIÇÃO
MULTIHANCE,gadobenate dimeglumine,BRACCO DIAGNOSTICS INC,MEDICAMENTO SOB PRESCRIÇÃO
ARUNDO MAURITANICA,Arundo Mauritanica,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM ANHYDROUS,"FRESENIUS KABI USA, LLC",MEDICAMENTO SOB PRESCRIÇÃO
WET ONES,Benzalkonium Chloride,EDGEWELL PERSONAL CARE BRANDS LLC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
"ALKA-SELTZER PLUS COUGH, MUCUS AND CONGESTION DAY AND NIGHT POWERMAX","acetaminophen, dextromethorphan hydrobromide, doxylamine succinate, guaifenesin, phenylephrine hydrochloride",BAYER HEALTHCARE LLC.,MEDICAMENTO ISENTO DE PRESCRIÇÃO
ACONITUM NAPELLUS,Aconitum napellus,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
PHENTERMINE HYDROCHLORIDE,Phentermine Hydrochloride,BRYANT RANCH PREPACK,MEDICAMENTO SOB PRESCRIÇÃO
MINOXIDIL,Minoxidil,BRYANT RANCH PREPACK,MEDICAMENTO SOB PRESCRIÇÃO
CHLORDIAZEPOXIDE HYDROCHLORIDE,Chlordiazepoxide Hydrochloride,BRYANT RANCH PREPACK,MEDICAMENTO SOB PRESCRIÇÃO
GABAPENTIN,Gabapentin,BRYANT RANCH PREPACK,MEDICAMENTO SOB PRESCRIÇÃO
PROCTOZONE-HC,hydrocortisone 2.5%,BRYANT RANCH PREPACK,MEDICAMENTO SOB PRESCRIÇÃO
COLD MEDICINE XL3,Acetaminophen Chlorpheniramine Maleate Phenylepherine Hydrochloride,"SELDER, S.A. DE C.V.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
ONDANSETRON,Ondansetron Tablets,NATCO PHARMA LIMITED,MEDICAMENTO SOB PRESCRIÇÃO
QUALITY CHOICE,Isopropyl alcohol,CHAIN DRUG MARKETING ASSOCIATION INC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
STOOL SOFTENER LAXATIVE,docusate sodium and sennosides,BEST CHOICE (VALU MERCHANDISERS COMPANY),MEDICAMENTO ISENTO DE PRESCRIÇÃO
DOXYCYCLINE,doxycycline,STRIDES PHARMA SCIENCE LIMITED,MEDICAMENTO SOB PRESCRIÇÃO
PEDIATRIC EARACHE REMEDY,Ear Drops,"VITALITY WORKS, INC",MEDICAMENTO ISENTO DE PRESCRIÇÃO
DEGREE,Advanced Lavender and Waterlily 72H Antiperspirant Deodorant,CONOPCO INC. D/B/A/ UNILEVER,MEDICAMENTO ISENTO DE PRESCRIÇÃO
